DZCode,DataZoneArea,ClosestED,RouteLength_km,Population
N20000001,Dunsilly_A1,Antrim Area Hospital,10.56,738
N20000002,Dunsilly_B1,Antrim Area Hospital,22.49,331
N20000003,Dunsilly_A2,Antrim Area Hospital,15.67,365
N20000004,Dunsilly_A3,Antrim Area Hospital,15.98,663
N20000005,Dunsilly_B2,Antrim Area Hospital,19.04,676
N20000006,Dunsilly_A4,Antrim Area Hospital,8.16,464
N20000007,Dunsilly_C1,Antrim Area Hospital,20.28,880
N20000008,Dunsilly_A5,Antrim Area Hospital,12.23,642
N20000009,Dunsilly_A6,Antrim Area Hospital,15.13,401
N20000010,Dunsilly_B3,Antrim Area Hospital,5.97,544
N20000011,Dunsilly_D1,Antrim Area Hospital,11.75,525
N20000012,Dunsilly_D2,Antrim Area Hospital,11.79,503
N20000013,Dunsilly_F1,Antrim Area Hospital,19.36,407
N20000014,Dunsilly_D3,Antrim Area Hospital,11.33,506
N20000015,Dunsilly_C2,Antrim Area Hospital,21.19,586
N20000016,Dunsilly_E1,Antrim Area Hospital,10.95,453
N20000017,Dunsilly_E2,Antrim Area Hospital,11.02,674
N20000018,Dunsilly_E3,Antrim Area Hospital,11.27,486
N20000019,Dunsilly_D4,Antrim Area Hospital,11.00,393
N20000020,Dunsilly_D5,Antrim Area Hospital,11.40,562
N20000021,Dunsilly_E4,Antrim Area Hospital,9.89,545
N20000022,Dunsilly_C3,Antrim Area Hospital,20.26,441
N20000023,Dunsilly_D6,Antrim Area Hospital,11.67,502
N20000024,Dunsilly_C4,Antrim Area Hospital,20.66,620
N20000025,Dunsilly_F2,Antrim Area Hospital,4.31,415
N20000026,Dunsilly_B4,Antrim Area Hospital,12.55,554
N20000027,Dunsilly_F3,Antrim Area Hospital,4.11,558
N20000028,Dunsilly_F4,Antrim Area Hospital,14.26,550
N20000029,Dunsilly_F5,Antrim Area Hospital,8.00,552
N20000030,Dunsilly_B5,Mater Hospital,20.76,496
N20000031,Dunsilly_B6,Antrim Area Hospital,9.74,531
N20000032,Dunsilly_F6,Antrim Area Hospital,13.92,459
N20000033,Dunsilly_F7,Antrim Area Hospital,18.97,536
N20000034,Dunsilly_F8,Antrim Area Hospital,16.72,439
N20000035,Antrim_A1,Antrim Area Hospital,21.59,671
N20000036,Antrim_A2,Antrim Area Hospital,1.92,374
N20000037,Antrim_A3,Antrim Area Hospital,2.82,423
N20000038,Antrim_B1,Antrim Area Hospital,0.63,628
N20000039,Antrim_B2,Antrim Area Hospital,2.26,499
N20000040,Antrim_A4,Antrim Area Hospital,2.90,371
N20000041,Antrim_C1,Antrim Area Hospital,3.45,931
N20000042,Antrim_B3,Antrim Area Hospital,1.45,661
N20000043,Antrim_D1,Antrim Area Hospital,2.38,820
N20000044,Antrim_C2,Antrim Area Hospital,4.53,493
N20000045,Antrim_C3,Antrim Area Hospital,3.77,466
N20000046,Antrim_D2,Antrim Area Hospital,2.13,570
N20000047,Antrim_D3,Antrim Area Hospital,2.15,516
N20000048,Antrim_C4,Antrim Area Hospital,3.68,562
N20000049,Antrim_G1,Antrim Area Hospital,3.13,554
N20000050,Antrim_E1,Antrim Area Hospital,2.77,425
N20000051,Antrim_F1,Antrim Area Hospital,3.18,493
N20000052,Antrim_F2,Antrim Area Hospital,3.79,501
N20000053,Antrim_E2,Antrim Area Hospital,2.86,408
N20000054,Antrim_D4,Antrim Area Hospital,2.41,517
N20000055,Antrim_E3,Antrim Area Hospital,3.04,336
N20000056,Antrim_E4,Antrim Area Hospital,3.05,483
N20000057,Antrim_G2,Antrim Area Hospital,3.01,465
N20000058,Antrim_H1,Antrim Area Hospital,3.41,415
N20000059,Antrim_F3,Antrim Area Hospital,3.39,413
N20000060,Antrim_J1,Antrim Area Hospital,3.25,355
N20000061,Antrim_H2,Antrim Area Hospital,3.41,382
N20000062,Antrim_H3,Antrim Area Hospital,3.73,597
N20000063,Antrim_G3,Antrim Area Hospital,4.10,354
N20000064,Antrim_J2,Antrim Area Hospital,4.09,391
N20000065,Antrim_J3,Antrim Area Hospital,4.18,491
N20000066,Antrim_K1,Antrim Area Hospital,3.99,325
N20000067,Antrim_K2,Antrim Area Hospital,3.99,521
N20000068,Antrim_G4,Antrim Area Hospital,4.20,423
N20000069,Antrim_L1,Antrim Area Hospital,3.96,461
N20000070,Antrim_J4,Antrim Area Hospital,4.25,426
N20000071,Antrim_G5,Antrim Area Hospital,4.38,337
N20000072,Antrim_L2,Antrim Area Hospital,4.26,559
N20000073,Antrim_F4,Antrim Area Hospital,4.45,473
N20000074,Antrim_K3,Antrim Area Hospital,4.27,468
N20000075,Antrim_L3,Antrim Area Hospital,5.10,432
N20000076,Antrim_N1,Antrim Area Hospital,4.75,373
N20000077,Antrim_N2,Antrim Area Hospital,4.70,306
N20000078,Antrim_F5,Antrim Area Hospital,4.58,324
N20000079,Antrim_K4,Antrim Area Hospital,4.61,387
N20000080,Antrim_J5,Antrim Area Hospital,5.21,633
N20000081,Antrim_N3,Antrim Area Hospital,4.90,334
N20000082,Antrim_K5,Antrim Area Hospital,5.27,452
N20000083,Antrim_N4,Antrim Area Hospital,4.88,270
N20000084,Antrim_N5,Antrim Area Hospital,5.00,288
N20000085,Antrim_L4,Antrim Area Hospital,5.17,594
N20000086,Ballyclare_F1,Mater Hospital,20.10,611
N20000087,Ballyclare_A1,Antrim Area Hospital,19.70,473
N20000088,Ballyclare_F2,Mater Hospital,20.68,485
N20000089,Ballyclare_F3,Mater Hospital,19.50,680
N20000090,Ballyclare_B1,Antrim Area Hospital,17.87,804
N20000091,Ballyclare_A2,Antrim Area Hospital,22.02,509
N20000092,Ballyclare_B2,Antrim Area Hospital,17.67,802
N20000093,Ballyclare_B3,Antrim Area Hospital,17.70,408
N20000094,Ballyclare_B4,Antrim Area Hospital,17.90,427
N20000095,Ballyclare_C1,Antrim Area Hospital,17.43,397
N20000096,Ballyclare_A3,Antrim Area Hospital,22.47,582
N20000097,Ballyclare_B5,Antrim Area Hospital,17.51,574
N20000098,Ballyclare_D1,Antrim Area Hospital,17.12,383
N20000099,Ballyclare_A4,Antrim Area Hospital,22.58,464
N20000100,Ballyclare_F4,Mater Hospital,18.95,705
N20000101,Ballyclare_D2,Mater Hospital,18.23,463
N20000102,Ballyclare_D3,Mater Hospital,17.92,475
N20000103,Ballyclare_C2,Antrim Area Hospital,17.09,353
N20000104,Ballyclare_C3,Antrim Area Hospital,16.22,533
N20000105,Ballyclare_C4,Antrim Area Hospital,16.53,408
N20000106,Ballyclare_D4,Mater Hospital,17.72,413
N20000107,Ballyclare_D5,Mater Hospital,17.99,402
N20000108,Ballyclare_C5,Antrim Area Hospital,17.04,349
N20000109,Ballyclare_E1,Antrim Area Hospital,15.98,552
N20000110,Ballyclare_E2,Antrim Area Hospital,15.57,661
N20000111,Ballyclare_E3,Antrim Area Hospital,16.08,557
N20000112,Ballyclare_C6,Antrim Area Hospital,16.49,323
N20000113,Ballyclare_D6,Mater Hospital,17.16,402
N20000114,Ballyclare_E4,Antrim Area Hospital,15.97,439
N20000115,Ballyclare_E5,Antrim Area Hospital,17.04,727
N20000116,Ballyclare_G1,Antrim Area Hospital,14.04,311
N20000117,Ballyclare_G2,Antrim Area Hospital,13.94,343
N20000118,Ballyclare_G3,Antrim Area Hospital,13.77,418
N20000119,Ballyclare_G4,Antrim Area Hospital,13.42,332
N20000120,Ballyclare_H1,Mater Hospital,15.24,402
N20000121,Ballyclare_F5,Mater Hospital,15.69,705
N20000122,Ballyclare_H2,Antrim Area Hospital,15.46,712
N20000123,Ballyclare_H3,Mater Hospital,14.27,487
N20000124,Three_Mile_Water_A1,Mater Hospital,12.41,457
N20000125,Three_Mile_Water_B1,Mater Hospital,12.36,438
N20000126,Three_Mile_Water_C1,Mater Hospital,11.90,611
N20000127,Three_Mile_Water_A2,Mater Hospital,11.33,193
N20000128,Three_Mile_Water_C2,Mater Hospital,11.71,701
N20000129,Three_Mile_Water_A3,Mater Hospital,10.80,826
N20000130,Three_Mile_Water_D1,Mater Hospital,11.11,561
N20000131,Three_Mile_Water_A4,Mater Hospital,11.22,390
N20000132,Three_Mile_Water_E1,Mater Hospital,11.13,606
N20000133,Three_Mile_Water_C3,Mater Hospital,10.90,740
N20000134,Three_Mile_Water_E2,Mater Hospital,11.27,676
N20000135,Three_Mile_Water_D2,Mater Hospital,11.17,523
N20000136,Three_Mile_Water_D3,Mater Hospital,11.42,493
N20000137,Three_Mile_Water_B2,Mater Hospital,10.69,456
N20000138,Three_Mile_Water_K1,Mater Hospital,10.72,497
N20000139,Three_Mile_Water_B3,Mater Hospital,10.81,462
N20000140,Three_Mile_Water_G1,Mater Hospital,10.64,719
N20000141,Three_Mile_Water_A5,Mater Hospital,10.27,351
N20000142,Three_Mile_Water_F1,Mater Hospital,11.27,349
N20000143,Three_Mile_Water_E3,Mater Hospital,11.22,625
N20000144,Three_Mile_Water_D4,Mater Hospital,10.82,382
N20000145,Three_Mile_Water_F2,Mater Hospital,10.78,260
N20000146,Three_Mile_Water_J1,Mater Hospital,11.04,402
N20000147,Three_Mile_Water_F3,Mater Hospital,10.63,503
N20000148,Three_Mile_Water_H1,Mater Hospital,11.08,310
N20000149,Three_Mile_Water_E4,Mater Hospital,11.39,615
N20000150,Three_Mile_Water_J2,Mater Hospital,11.36,319
N20000002,Dunsilly_B1,Mater Hospital,11.24,331
N20000152,Three_Mile_Water_G2,Mater Hospital,10.71,368
N20000153,Three_Mile_Water_K2,Mater Hospital,10.26,546
N20000154,Three_Mile_Water_F4,Mater Hospital,10.73,786
N20000155,Three_Mile_Water_J3,Mater Hospital,10.96,355
N20000003,Dunsilly_A2,Mater Hospital,11.55,365
N20000004,Dunsilly_A3,Mater Hospital,11.48,663
N20000158,Three_Mile_Water_G3,Mater Hospital,10.70,596
N20000159,Three_Mile_Water_J4,Mater Hospital,11.51,385
N20000160,Three_Mile_Water_G4,Mater Hospital,11.45,365
N20000161,Three_Mile_Water_K3,Mater Hospital,9.55,547
N20000162,Three_Mile_Water_G5,Mater Hospital,10.19,748
N20000163,Three_Mile_Water_K4,Mater Hospital,9.08,532
N20000164,Macedon_A1,Mater Hospital,9.55,570
N20000165,Macedon_A2,Mater Hospital,9.61,460
N20000166,Macedon_B1,Mater Hospital,9.38,392
N20000167,Macedon_B2,Mater Hospital,9.21,307
N20000168,Macedon_C1,Mater Hospital,9.04,428
N20000169,Macedon_B3,Mater Hospital,9.01,429
N20000170,Macedon_C2,Mater Hospital,9.05,474
N20000171,Macedon_C3,Mater Hospital,8.95,456
N20000172,Macedon_B4,Mater Hospital,8.95,596
N20000173,Macedon_A3,Mater Hospital,9.22,639
N20000174,Macedon_D1,Mater Hospital,8.88,623
N20000175,Macedon_C4,Mater Hospital,8.95,440
N20000176,Macedon_C5,Mater Hospital,8.68,411
N20000177,Macedon_B5,Mater Hospital,8.78,353
N20000178,Macedon_E1,Mater Hospital,8.92,439
N20000179,Macedon_E2,Mater Hospital,8.78,591
N20000180,Macedon_D2,Mater Hospital,8.59,482
N20000181,Macedon_F1,Mater Hospital,8.91,462
N20000182,Macedon_D3,Mater Hospital,8.81,680
N20000183,Macedon_F2,Mater Hospital,8.13,423
N20000184,Macedon_F3,Mater Hospital,8.10,416
N20000185,Macedon_E3,Mater Hospital,7.99,242
N20000186,Macedon_H1,Mater Hospital,8.05,203
N20000187,Macedon_F4,Mater Hospital,7.94,371
N20000188,Macedon_H2,Mater Hospital,7.65,501
N20000189,Macedon_J1,Mater Hospital,8.21,572
N20000190,Macedon_G1,Mater Hospital,8.50,358
N20000191,Macedon_E4,Mater Hospital,7.73,404
N20000192,Macedon_G2,Mater Hospital,8.74,259
N20000193,Macedon_G3,Mater Hospital,7.68,238
N20000194,Macedon_K1,Mater Hospital,7.64,357
N20000195,Macedon_G4,Mater Hospital,7.69,531
N20000196,Macedon_J2,Mater Hospital,7.95,216
N20000197,Macedon_K2,Mater Hospital,7.47,213
N20000198,Macedon_K3,Mater Hospital,7.38,359
N20000199,Macedon_G5,Mater Hospital,7.47,512
N20000200,Macedon_K4,Mater Hospital,7.22,561
N20000201,Macedon_J3,Mater Hospital,7.30,567
N20000202,Macedon_K5,Mater Hospital,6.79,398
N20000203,Macedon_J4,Mater Hospital,7.29,314
N20000204,Macedon_J5,Mater Hospital,6.87,380
N20000205,Macedon_H3,Mater Hospital,6.54,319
N20000206,Macedon_H4,Mater Hospital,6.57,283
N20000207,Macedon_L1,Mater Hospital,6.41,445
N20000208,Macedon_L2,Mater Hospital,6.73,484
N20000209,Macedon_L3,Mater Hospital,6.10,499
N20000210,Macedon_L4,Mater Hospital,5.73,659
N20000211,Glengormley_Urban_C1,Mater Hospital,10.24,614
N20000212,Glengormley_Urban_A1,Mater Hospital,9.92,513
N20000213,Glengormley_Urban_A2,Mater Hospital,10.12,391
N20000005,Dunsilly_B2,Mater Hospital,10.98,676
N20000215,Glengormley_Urban_C2,Mater Hospital,10.50,500
N20000006,Dunsilly_A4,Mater Hospital,11.25,464
N20000217,Glengormley_Urban_A3,Mater Hospital,9.63,595
N20000218,Glengormley_Urban_B3,Mater Hospital,9.90,584
N20000219,Glengormley_Urban_C3,Mater Hospital,10.01,722
N20000007,Dunsilly_C1,Mater Hospital,10.24,880
N20000221,Glengormley_Urban_D1,Mater Hospital,9.18,524
N20000222,Glengormley_Urban_E1,Mater Hospital,9.99,484
N20000223,Glengormley_Urban_D2,Mater Hospital,10.08,492
N20000224,Glengormley_Urban_B5,Mater Hospital,9.87,461
N20000225,Glengormley_Urban_E2,Mater Hospital,9.15,310
N20000226,Glengormley_Urban_D3,Mater Hospital,10.22,605
N20000227,Glengormley_Urban_C4,Mater Hospital,9.67,489
N20000228,Glengormley_Urban_E3,Mater Hospital,8.89,426
N20000229,Glengormley_Urban_E4,Mater Hospital,8.80,462
N20000230,Glengormley_Urban_D4,Mater Hospital,8.66,522
N20000231,Glengormley_Urban_F1,Mater Hospital,9.54,488
N20000232,Glengormley_Urban_G1,Mater Hospital,8.91,316
N20000233,Glengormley_Urban_F2,Mater Hospital,9.08,479
N20000234,Glengormley_Urban_G2,Mater Hospital,9.17,422
N20000235,Glengormley_Urban_G3,Mater Hospital,8.61,366
N20000236,Glengormley_Urban_H1,Mater Hospital,8.36,441
N20000237,Glengormley_Urban_H2,Mater Hospital,8.30,415
N20000238,Glengormley_Urban_F3,Mater Hospital,8.94,584
N20000239,Glengormley_Urban_G4,Mater Hospital,8.80,463
N20000240,Glengormley_Urban_F4,Mater Hospital,8.10,348
N20000241,Glengormley_Urban_G5,Mater Hospital,8.44,291
N20000242,Glengormley_Urban_H3,Mater Hospital,8.22,451
N20000243,Glengormley_Urban_J1,Mater Hospital,7.56,354
N20000244,Glengormley_Urban_J2,Mater Hospital,8.35,692
N20000245,Glengormley_Urban_J3,Mater Hospital,7.40,398
N20000246,Glengormley_Urban_K1,Mater Hospital,7.66,544
N20000247,Glengormley_Urban_K2,Mater Hospital,7.90,457
N20000248,Glengormley_Urban_L1,Mater Hospital,8.44,270
N20000249,Glengormley_Urban_J4,Mater Hospital,7.38,353
N20000250,Glengormley_Urban_J5,Mater Hospital,7.34,390
N20000251,Glengormley_Urban_L2,Mater Hospital,8.63,714
N20000252,Glengormley_Urban_L3,Mater Hospital,8.46,449
N20000253,Glengormley_Urban_K3,Mater Hospital,7.62,618
N20000254,Glengormley_Urban_K4,Mater Hospital,7.30,500
N20000255,Glengormley_Urban_L4,Mater Hospital,8.53,545
N20000256,Glengormley_Urban_L5,Mater Hospital,6.96,561
N20000257,Airport_A1,Antrim Area Hospital,10.71,308
N20000258,Airport_B1,Antrim Area Hospital,8.37,516
N20000259,Airport_A2,Antrim Area Hospital,10.11,588
N20000260,Airport_A3,Antrim Area Hospital,11.18,652
N20000261,Airport_C1,Antrim Area Hospital,11.91,893
N20000262,Airport_C2,Mater Hospital,12.21,651
N20000263,Airport_B2,Antrim Area Hospital,7.35,562
N20000264,Airport_B3,Antrim Area Hospital,6.84,683
N20000265,Airport_D1,Mater Hospital,11.15,537
N20000266,Airport_C3,Mater Hospital,13.15,377
N20000267,Airport_D2,Mater Hospital,9.86,808
N20000268,Airport_F1,Antrim Area Hospital,8.02,666
N20000269,Airport_D3,Mater Hospital,10.89,647
N20000270,Airport_E1,Mater Hospital,9.17,350
N20000271,Airport_D4,Mater Hospital,10.10,511
N20000272,Airport_E2,Mater Hospital,9.87,657
N20000273,Airport_E3,Mater Hospital,8.47,405
N20000274,Airport_G1,Antrim Area Hospital,11.59,535
N20000275,Airport_E4,Mater Hospital,9.75,491
N20000276,Airport_E5,Mater Hospital,8.12,601
N20000277,Airport_E6,Mater Hospital,8.23,434
N20000278,Airport_C4,Mater Hospital,9.92,523
N20000279,Airport_F2,Antrim Area Hospital,13.00,"1,333"
N20000280,Airport_G2,Mater Hospital,13.56,657
N20000281,Airport_G3,Antrim Area Hospital,15.97,667
N20000282,Airport_F3,Antrim Area Hospital,20.30,429
N20000283,Airport_H1,Antrim Area Hospital,17.19,749
N20000284,Airport_H2,Antrim Area Hospital,17.81,616
N20000285,Airport_G4,Mater Hospital,13.12,650
N20000286,Airport_J1,Antrim Area Hospital,17.87,520
N20000287,Airport_H3,Antrim Area Hospital,18.38,738
N20000288,Airport_H4,Antrim Area Hospital,17.95,480
N20000289,Airport_J2,Antrim Area Hospital,17.66,356
N20000290,Airport_H5,Antrim Area Hospital,18.30,299
N20000291,Airport_J3,Antrim Area Hospital,18.12,317
N20000292,Airport_J4,Antrim Area Hospital,18.34,562
N20000293,Airport_F4,Antrim Area Hospital,19.36,534
N20000294,Airport_J5,Antrim Area Hospital,18.53,726
N20000295,Armagh_A1,Craigavon Area Hospital,19.87,701
N20000296,Armagh_A2,Craigavon Area Hospital,17.87,555
N20000297,Armagh_A3,Craigavon Area Hospital,23.43,638
N20000298,Armagh_A4,Craigavon Area Hospital,21.33,664
N20000299,Armagh_E1,Craigavon Area Hospital,29.91,544
N20000300,Armagh_A5,Craigavon Area Hospital,25.98,486
N20000301,Armagh_E2,Craigavon Area Hospital,27.47,715
N20000302,Armagh_A6,Craigavon Area Hospital,23.09,770
N20000303,Armagh_C1,Craigavon Area Hospital,20.39,670
N20000304,Armagh_C2,Craigavon Area Hospital,18.68,508
N20000305,Armagh_E3,Craigavon Area Hospital,28.90,568
N20000306,Armagh_B1,Craigavon Area Hospital,17.79,536
N20000307,Armagh_B2,Craigavon Area Hospital,17.49,416
N20000308,Armagh_C3,Craigavon Area Hospital,20.11,437
N20000309,Armagh_D1,Craigavon Area Hospital,20.43,682
N20000310,Armagh_J1,Craigavon Area Hospital,23.93,440
N20000311,Armagh_B3,Craigavon Area Hospital,18.08,519
N20000312,Armagh_D2,Craigavon Area Hospital,20.77,696
N20000313,Armagh_F1,Craigavon Area Hospital,19.90,437
N20000314,Armagh_B4,Craigavon Area Hospital,18.76,355
N20000315,Armagh_C4,Craigavon Area Hospital,19.06,512
N20000316,Armagh_D3,Craigavon Area Hospital,20.99,498
N20000317,Armagh_D4,Craigavon Area Hospital,21.65,711
N20000318,Armagh_D5,Craigavon Area Hospital,20.32,528
N20000319,Armagh_F2,Craigavon Area Hospital,19.67,260
N20000320,Armagh_F3,Craigavon Area Hospital,19.66,509
N20000321,Armagh_F4,Craigavon Area Hospital,20.60,328
N20000322,Armagh_D6,Craigavon Area Hospital,22.02,474
N20000323,Armagh_F5,Craigavon Area Hospital,20.47,231
N20000324,Armagh_C5,Craigavon Area Hospital,19.25,362
N20000325,Armagh_G1,Craigavon Area Hospital,20.12,410
N20000326,Armagh_C6,Craigavon Area Hospital,19.33,530
N20000327,Armagh_F6,Craigavon Area Hospital,20.60,541
N20000328,Armagh_G2,Craigavon Area Hospital,20.49,325
N20000329,Armagh_G3,Craigavon Area Hospital,21.45,808
N20000330,Armagh_G4,Craigavon Area Hospital,20.77,562
N20000331,Armagh_G5,Craigavon Area Hospital,21.30,573
N20000332,Armagh_H1,Craigavon Area Hospital,21.01,499
N20000333,Armagh_H2,Craigavon Area Hospital,29.57,489
N20000334,Armagh_H3,Craigavon Area Hospital,21.27,570
N20000335,Armagh_G6,Craigavon Area Hospital,21.97,389
N20000336,Armagh_H4,Craigavon Area Hospital,21.28,465
N20000337,Armagh_H5,Craigavon Area Hospital,29.91,481
N20000338,Armagh_J2,Craigavon Area Hospital,27.24,406
N20000339,Armagh_J3,Craigavon Area Hospital,22.23,561
N20000340,Armagh_E4,Craigavon Area Hospital,32.53,543
N20000341,Armagh_J4,Craigavon Area Hospital,24.00,678
N20000342,Armagh_E5,Craigavon Area Hospital,35.26,416
N20000343,Armagh_J5,Craigavon Area Hospital,26.05,671
N20000344,Armagh_K1,Craigavon Area Hospital,30.30,583
N20000345,Armagh_J6,Craigavon Area Hospital,29.13,571
N20000346,Armagh_K2,Craigavon Area Hospital,32.81,657
N20000347,Armagh_K3,Craigavon Area Hospital,34.95,518
N20000348,Armagh_L1,Daisy Hill Hospital,30.43,525
N20000349,Armagh_L2,Daisy Hill Hospital,30.35,470
N20000350,Armagh_L3,Daisy Hill Hospital,30.31,628
N20000351,Armagh_L4,Daisy Hill Hospital,30.17,431
N20000352,Armagh_L5,Daisy Hill Hospital,29.47,580
N20000353,Armagh_K4,Daisy Hill Hospital,31.58,512
N20000354,Armagh_K5,Daisy Hill Hospital,32.89,736
N20000355,Armagh_K6,Daisy Hill Hospital,36.19,527
N20000356,Portadown_A1,Craigavon Area Hospital,16.06,701
N20000357,Portadown_A2,Craigavon Area Hospital,19.13,392
N20000358,Portadown_B1,Craigavon Area Hospital,12.61,562
N20000359,Portadown_A3,Craigavon Area Hospital,12.65,555
N20000360,Portadown_B2,Craigavon Area Hospital,11.98,403
N20000361,Portadown_A4,Craigavon Area Hospital,19.29,669
N20000362,Portadown_A5,Craigavon Area Hospital,14.21,648
N20000363,Portadown_B3,Craigavon Area Hospital,11.84,490
N20000364,Portadown_B4,Craigavon Area Hospital,7.51,559
N20000365,Portadown_B5,Craigavon Area Hospital,6.17,539
N20000366,Portadown_B6,Craigavon Area Hospital,9.25,467
N20000367,Portadown_J1,Craigavon Area Hospital,11.98,597
N20000368,Portadown_R1,Craigavon Area Hospital,7.65,668
N20000369,Portadown_J2,Craigavon Area Hospital,14.83,655
N20000370,Portadown_C1,Craigavon Area Hospital,4.35,415
N20000371,Portadown_D1,Craigavon Area Hospital,4.07,609
N20000372,Portadown_C2,Craigavon Area Hospital,4.56,652
N20000373,Portadown_D2,Craigavon Area Hospital,3.32,580
N20000374,Portadown_C3,Craigavon Area Hospital,4.01,366
N20000375,Portadown_D3,Craigavon Area Hospital,3.43,324
N20000376,Portadown_D4,Craigavon Area Hospital,3.71,277
N20000377,Portadown_F1,Craigavon Area Hospital,3.15,473
N20000378,Portadown_E1,Craigavon Area Hospital,3.46,409
N20000379,Portadown_D5,Craigavon Area Hospital,2.96,657
N20000380,Portadown_C4,Craigavon Area Hospital,4.32,387
N20000381,Portadown_E2,Craigavon Area Hospital,3.19,576
N20000382,Portadown_E3,Craigavon Area Hospital,4.07,591
N20000383,Portadown_R2,Craigavon Area Hospital,8.65,655
N20000384,Portadown_H1,Craigavon Area Hospital,2.15,650
N20000385,Portadown_G1,Craigavon Area Hospital,3.96,344
N20000386,Portadown_E4,Craigavon Area Hospital,3.08,437
N20000387,Portadown_G2,Craigavon Area Hospital,3.75,293
N20000388,Portadown_G3,Craigavon Area Hospital,3.99,383
N20000389,Portadown_K1,Craigavon Area Hospital,4.41,701
N20000390,Portadown_G4,Craigavon Area Hospital,4.22,437
N20000391,Portadown_G5,Craigavon Area Hospital,3.66,275
N20000392,Portadown_H2,Craigavon Area Hospital,2.91,536
N20000393,Portadown_F2,Craigavon Area Hospital,2.46,460
N20000394,Portadown_G6,Craigavon Area Hospital,4.00,310
N20000395,Portadown_F3,Craigavon Area Hospital,2.95,542
N20000396,Portadown_K2,Craigavon Area Hospital,3.50,430
N20000397,Portadown_H3,Craigavon Area Hospital,2.46,716
N20000398,Portadown_L1,Craigavon Area Hospital,3.03,457
N20000399,Portadown_K3,Craigavon Area Hospital,3.68,442
N20000400,Portadown_L2,Craigavon Area Hospital,3.16,458
N20000401,Portadown_J3,Craigavon Area Hospital,13.38,635
N20000402,Portadown_K4,Craigavon Area Hospital,4.08,787
N20000403,Portadown_L3,Craigavon Area Hospital,3.31,460
N20000404,Portadown_N1,Craigavon Area Hospital,3.61,629
N20000405,Portadown_N2,Craigavon Area Hospital,3.49,494
N20000406,Portadown_P1,Craigavon Area Hospital,4.43,293
N20000407,Portadown_N3,Craigavon Area Hospital,3.84,403
N20000408,Portadown_J4,Craigavon Area Hospital,15.70,321
N20000409,Portadown_P2,Craigavon Area Hospital,4.22,238
N20000410,Portadown_P3,Craigavon Area Hospital,4.74,353
N20000411,Portadown_L4,Craigavon Area Hospital,3.98,526
N20000412,Portadown_P4,Craigavon Area Hospital,4.46,524
N20000413,Portadown_Q1,Craigavon Area Hospital,4.69,707
N20000414,Portadown_Q2,Craigavon Area Hospital,4.52,472
N20000415,Portadown_Q3,Craigavon Area Hospital,4.60,445
N20000416,Portadown_R3,Craigavon Area Hospital,9.74,641
N20000417,Portadown_Q4,Craigavon Area Hospital,5.12,579
N20000418,Portadown_J5,Craigavon Area Hospital,16.61,714
N20000419,Portadown_R4,Craigavon Area Hospital,6.56,484
N20000420,Portadown_R5,Craigavon Area Hospital,6.90,473
N20000421,Craigavon_A1,Craigavon Area Hospital,18.36,712
N20000422,Craigavon_A2,Craigavon Area Hospital,16.31,796
N20000423,Craigavon_A3,Craigavon Area Hospital,9.67,778
N20000424,Craigavon_A4,Craigavon Area Hospital,11.24,794
N20000425,Craigavon_B1,Craigavon Area Hospital,6.93,318
N20000426,Craigavon_B2,Craigavon Area Hospital,7.42,550
N20000427,Craigavon_B3,Craigavon Area Hospital,12.28,591
N20000428,Craigavon_B4,Craigavon Area Hospital,3.22,854
N20000429,Craigavon_B5,Craigavon Area Hospital,5.78,368
N20000430,Craigavon_C1,Craigavon Area Hospital,6.29,454
N20000431,Craigavon_E1,Craigavon Area Hospital,5.34,520
N20000432,Craigavon_E2,Craigavon Area Hospital,4.75,576
N20000433,Craigavon_C2,Craigavon Area Hospital,2.31,719
N20000434,Craigavon_D1,Craigavon Area Hospital,2.83,613
N20000435,Craigavon_D2,Craigavon Area Hospital,3.44,699
N20000436,Craigavon_F1,Craigavon Area Hospital,3.41,481
N20000437,Craigavon_D3,Craigavon Area Hospital,3.13,368
N20000438,Craigavon_F2,Craigavon Area Hospital,1.42,363
N20000439,Craigavon_E3,Craigavon Area Hospital,5.34,457
N20000440,Craigavon_C3,Craigavon Area Hospital,1.70,406
N20000441,Craigavon_C4,Craigavon Area Hospital,2.30,448
N20000442,Craigavon_E4,Craigavon Area Hospital,4.00,471
N20000443,Craigavon_F3,Craigavon Area Hospital,0.47,443
N20000444,Craigavon_F4,Craigavon Area Hospital,1.83,408
N20000445,Craigavon_E5,Craigavon Area Hospital,4.44,520
N20000446,Craigavon_J1,Craigavon Area Hospital,4.69,667
N20000447,Craigavon_F5,Craigavon Area Hospital,1.07,520
N20000448,Craigavon_G1,Craigavon Area Hospital,4.58,582
N20000449,Craigavon_G2,Craigavon Area Hospital,4.57,413
N20000450,Craigavon_H1,Craigavon Area Hospital,4.41,313
N20000451,Craigavon_J2,Craigavon Area Hospital,0.05,722
N20000452,Craigavon_G3,Craigavon Area Hospital,4.77,421
N20000453,Craigavon_G4,Craigavon Area Hospital,5.29,601
N20000454,Craigavon_G5,Craigavon Area Hospital,5.20,322
N20000455,Craigavon_F6,Craigavon Area Hospital,0.27,458
N20000456,Craigavon_H2,Craigavon Area Hospital,0.57,422
N20000457,Craigavon_J3,Craigavon Area Hospital,0.15,619
