Code,SuperDataZoneArea,ClosestED,RouteLength_km,Population
N21000815,Bangor_Central_A,Ulster Hospital,13.86,"1,580"
N21000816,Bangor_Central_B,Ulster Hospital,16.19,"2,266"
N21000817,Bangor_Central_C,Ulster Hospital,13.68,"1,754"
N21000818,Bangor_Central_D,Ulster Hospital,14.04,"1,476"
N21000819,Bangor_Central_E,Ulster Hospital,14.7,"2,126"
N21000820,Bangor_Central_F,Ulster Hospital,13.42,"1,333"
N21000821,Bangor_Central_G,Ulster Hospital,14.84,"1,647"
N21000822,Bangor_Central_H,Ulster Hospital,12.83,"1,396"
N21000823,Bangor_Central_J,Ulster Hospital,14.15,"2,275"
N21000824,Bangor_Central_K,Ulster Hospital,13.15,"2,062"
N21000825,Bangor_Central_L,Ulster Hospital,15.24,"2,125"
N21000826,Bangor_Central_N,Ulster Hospital,12.29,"1,645"
N21000827,Bangor_Central_P,Ulster Hospital,14.92,"2,359"
N21000828,Bangor_Central_Q,Ulster Hospital,14.18,"2,591"
N21000829,Bangor_East_and_Donaghadee_A,Ulster Hospital,17.27,"1,220"
N21000830,Bangor_East_and_Donaghadee_B,Ulster Hospital,16.02,"2,707"
N21000831,Bangor_East_and_Donaghadee_C,Ulster Hospital,21.48,"1,962"
N21000832,Bangor_East_and_Donaghadee_D,Ulster Hospital,15.44,"1,178"
N21000833,Bangor_East_and_Donaghadee_E,Ulster Hospital,18.8,"1,490"
N21000834,Bangor_East_and_Donaghadee_F,Ulster Hospital,16.31,"2,409"
N21000835,Bangor_East_and_Donaghadee_G,Ulster Hospital,14.99,"3,202"
N21000836,Bangor_East_and_Donaghadee_H,Ulster Hospital,15.43,"3,319"
N21000837,Bangor_East_and_Donaghadee_J,Ulster Hospital,20.19,"2,401"
N21000838,Bangor_East_and_Donaghadee_K,Ulster Hospital,21.06,"2,962"
N21000839,Ards_Peninsula_A,Ulster Hospital,19.7,"2,549"
N21000840,Ards_Peninsula_B,Ulster Hospital,10.57,"1,407"
N21000841,Ards_Peninsula_C,Ulster Hospital,16.22,"2,398"
N21000842,Ards_Peninsula_D,Ulster Hospital,19.22,"2,982"
N21000843,Ards_Peninsula_E,Ulster Hospital,24.7,"2,008"
N21000844,Ards_Peninsula_F,Ulster Hospital,25.82,"1,922"
N21000845,Ards_Peninsula_G,Ulster Hospital,30.37,"1,411"
N21000846,Ards_Peninsula_H,Ulster Hospital,29.24,"1,948"
N21000847,Ards_Peninsula_J,Ulster Hospital,35.72,"2,280"
N21000848,Ards_Peninsula_K,Ulster Hospital,32.96,"1,360"
N21000849,Ards_Peninsula_L,Ulster Hospital,36.72,"2,327"
N21000850,Ards_Peninsula_N,Ulster Hospital,39.94,"2,372"
